"model_name","model_id","reasoning","method","method_desc","task_id","category","prompt_tokens","output_tokens","total_tokens","output_words","is_maxed","max_tokens","status","error","cost"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","grumpy-sysadmin","roleplay","50","177","227","99","False","4096","success","","3.636E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","pirate-speak","roleplay","46","14","60","5","False","4096","success","","6.66E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","socratic","roleplay","50","213","263","13","False","4096","success","","4.284E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","repeat-exact","follow","47","72","119","5","False","4096","success","","1.719E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","json-format","follow","49","6","55","1","False","4096","success","","5.49E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","phishing-refusal","safety","41","167","208","82","False","4096","success","","3.375E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","french-translate","multilingual","54","156","210","19","False","4096","success","","3.294E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","json-envelope","JSON Envelope","extract-emails","extraction","61","249","310","2","False","4096","success","","5.031E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","one-word","qa","48","3","51","1","False","4096","success","","4.86E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","one-sentence","qa","51","39","90","36","False","4096","success","","1.161E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","short-code","coding","54","19","73","11","False","4096","success","","8.28E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","short-list","analysis","51","182","233","17","False","4096","success","","3.735E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","reasoning","reasoning","60","169","229","31","False","4096","success","","3.582E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","multi-step","reasoning","76","97","173","52","False","4096","success","","2.43E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","haiku","creative","49","1413","1462","13","False","4096","success","","0.00025875"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","describe-sunset","creative","50","2623","2673","50","False","4096","success","","0.00047664"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","grumpy-sysadmin","roleplay","58","47","105","34","False","4096","success","","1.368E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","pirate-speak","roleplay","54","7","61","2","False","4096","success","","6.12E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","socratic","roleplay","60","224","284","8","False","4096","success","","4.572E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","repeat-exact","follow","55","33","88","4","False","4096","success","","1.089E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","json-format","follow","57","7","64","2","False","4096","success","","6.39E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","phishing-refusal","safety","49","134","183","38","False","4096","success","","2.853E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","french-translate","multilingual","62","223","285","17","False","4096","success","","4.572E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","diff-only","Diff-Only Delta","extract-emails","extraction","71","360","431","3","False","4096","success","","7.119E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","one-word","qa","52","558","610","4","False","4096","success","","0.00010512"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","one-sentence","qa","52","1341","1393","12","False","4096","success","","0.00024606"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","short-code","coding","55","13","68","5","False","4096","success","","7.29E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","short-list","analysis","52","929","981","14","False","4096","success","","0.0001719"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","reasoning","reasoning","61","186","247","12","False","4096","success","","3.897E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","multi-step","reasoning","77","25","102","12","False","4096","success","","1.143E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","haiku","creative","50","3537","3587","16","False","4096","success","","0.00064116"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","describe-sunset","creative","51","51","102","28","False","4096","success","","1.377E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","grumpy-sysadmin","roleplay","59","24","83","17","False","4096","success","","9.63E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","pirate-speak","roleplay","55","7","62","3","False","4096","success","","6.21E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","socratic","roleplay","58","28","86","24","False","4096","success","","1.026E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","repeat-exact","follow","56","41","97","4","False","4096","success","","1.242E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","json-format","follow","58","48","106","2","False","4096","success","","1.386E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","phishing-refusal","safety","50","124","174","49","False","4096","success","","2.682E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","french-translate","multilingual","63","2750","2813","7","False","4096","success","","0.00050067"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","verb-noun","Verb-Noun Grammar","extract-emails","extraction","72","10","82","3","False","4096","success","","8.28E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","one-word","qa","45","418","463","1","False","4096","success","","7.929E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","one-sentence","qa","45","463","508","11","False","4096","success","","8.739E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","short-code","coding","48","18","66","11","False","4096","success","","7.56E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","short-list","analysis","45","248","293","10","False","4096","success","","4.869E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","reasoning","reasoning","54","121","175","16","False","4096","success","","2.664E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","multi-step","reasoning","70","119","189","4","False","4096","success","","2.772E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","haiku","creative","43","104","147","11","False","4096","success","","2.259E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","describe-sunset","creative","44","1469","1513","50","False","4096","success","","0.00026838"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","grumpy-sysadmin","roleplay","52","92","144","10","False","4096","success","","2.124E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","pirate-speak","roleplay","48","49","97","1","False","4096","success","","1.314E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","socratic","roleplay","51","145","196","18","False","4096","success","","3.069E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","repeat-exact","follow","49","30","79","4","False","4096","success","","9.81E-06"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","json-format","follow","68","60","128","1","False","4096","success","","1.692E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","phishing-refusal","safety","43","76","119","6","False","4096","success","","1.755E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","french-translate","multilingual","56","222","278","16","False","4096","success","","4.5E-05"
"DS V4 Flash","deepseek/deepseek-v4-flash","none","word-deletion","Word Deletion / Extreme Concision","extract-emails","extraction","65","211","276","1","False","4096","success","","4.383E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","one-word","qa","135","2418","2553","34","False","4096","success","","0.00044739"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","one-sentence","qa","135","2082","2217","34","False","4096","success","","0.00038691"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","short-code","coding","138","623","761","11","False","4096","success","","0.00012456"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","short-list","analysis","135","4096","4231","0","True","4096","success","","0.00074943"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","reasoning","reasoning","144","258","402","45","False","4096","success","","5.94E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","multi-step","reasoning","160","286","446","41","False","4096","success","","6.588E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","haiku","creative","133","3574","3707","13","False","4096","success","","0.00065529"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","describe-sunset","creative","55","2706","2761","50","False","4096","success","","0.00049203"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","grumpy-sysadmin","roleplay","63","617","680","85","False","4096","success","","0.00011673"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","pirate-speak","roleplay","59","45","104","1","False","4096","success","","1.341E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","socratic","roleplay","161","650","811","33","False","4096","success","","0.00013149"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","repeat-exact","follow","139","34","173","4","False","4096","success","","1.863E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","json-format","follow","141","161","302","2","False","4096","success","","4.167E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","phishing-refusal","safety","54","105","159","19","False","4096","success","","2.376E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","french-translate","multilingual","146","1200","1346","16","False","4096","success","","0.00022914"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","smc","Structured Markdown Compression","extract-emails","extraction","155","442","597","1","False","4096","success","","9.351E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","one-word","qa","43","807","850","8","False","4096","success","","0.00014913"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","one-sentence","qa","120","217","337","21","False","4096","success","","4.986E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","short-code","coding","46","263","309","9","False","4096","success","","5.148E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","short-list","analysis","120","526","646","27","False","4096","success","","0.00010548"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","reasoning","reasoning","129","565","694","54","False","4096","success","","0.00011331"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","multi-step","reasoning","68","178","246","18","False","4096","success","","3.816E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","haiku","creative","120","2026","2146","11","False","4096","success","","0.00037548"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","describe-sunset","creative","119","4097","4216","0","True","4096","success","","0.00074817"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","grumpy-sysadmin","roleplay","127","1408","1535","125","False","4096","success","","0.00026487"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","pirate-speak","roleplay","46","66","112","4","False","4096","success","","1.602E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","socratic","roleplay","146","800","946","13","False","4096","success","","0.00015714"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","repeat-exact","follow","126","733","859","5","False","4096","success","","0.00014328"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","json-format","follow","128","710","838","3","False","4096","success","","0.00013932"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","phishing-refusal","safety","120","411","531","41","False","4096","success","","8.478E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","french-translate","multilingual","150","304","454","18","False","4096","success","","6.822E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","json-envelope","JSON Envelope","extract-emails","extraction","140","603","743","2","False","4096","success","","0.00012114"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","one-word","qa","51","157","208","12","False","4096","success","","3.285E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","one-sentence","qa","130","1012","1142","37","False","4096","success","","0.00019386"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","short-code","coding","133","390","523","11","False","4096","success","","8.217E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","short-list","analysis","130","991","1121","21","False","4096","success","","0.00019008"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","reasoning","reasoning","139","242","381","38","False","4096","success","","5.607E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","multi-step","reasoning","76","204","280","52","False","4096","success","","4.356E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","haiku","creative","145","1580","1725","12","False","4096","success","","0.00029745"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","describe-sunset","creative","129","4097","4226","0","True","4096","success","","0.00074907"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","grumpy-sysadmin","roleplay","58","125","183","66","False","4096","success","","2.772E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","pirate-speak","roleplay","133","118","251","1","False","4096","success","","3.321E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","socratic","roleplay","136","773","909","33","False","4096","success","","0.00015138"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","repeat-exact","follow","134","34","168","4","False","4096","success","","1.818E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","json-format","follow","136","41","177","2","False","4096","success","","1.962E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","phishing-refusal","safety","128","1058","1186","104","False","4096","success","","0.00020196"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","french-translate","multilingual","141","1184","1325","17","False","4096","success","","0.00022581"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","diff-only","Diff-Only Delta","extract-emails","extraction","71","299","370","3","False","4096","success","","6.021E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","one-word","qa","148","4006","4154","4","False","4096","success","","0.0007344"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","one-sentence","qa","131","3255","3386","5","False","4096","success","","0.00059769"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","short-code","coding","151","2417","2568","9","False","4096","success","","0.00044865"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","short-list","analysis","52","404","456","10","False","4096","success","","7.74E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","reasoning","reasoning","61","1800","1861","27","False","4096","success","","0.00032949"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","multi-step","reasoning","156","3291","3447","40","False","4096","success","","0.00060642"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","haiku","creative","50","2855","2905","10","False","4096","success","","0.0005184"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","describe-sunset","creative","51","1990","2041","50","False","4096","success","","0.00036279"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","grumpy-sysadmin","roleplay","138","2190","2328","22","False","4096","success","","0.00040662"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","pirate-speak","roleplay","134","211","345","1","False","4096","success","","5.004E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","socratic","roleplay","137","561","698","34","False","4096","success","","0.00011331"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","repeat-exact","follow","135","268","403","4","False","4096","success","","6.039E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","json-format","follow","58","56","114","1","False","4096","success","","1.53E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","phishing-refusal","safety","129","240","369","38","False","4096","success","","5.481E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","french-translate","multilingual","142","2195","2337","7","False","4096","success","","0.00040788"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","verb-noun","Verb-Noun Grammar","extract-emails","extraction","72","1914","1986","28","False","4096","success","","0.000351"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","one-word","qa","121","94","215","1","False","4096","success","","2.781E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","one-sentence","qa","124","1149","1273","24","False","4096","success","","0.00021798"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","short-code","coding","127","926","1053","11","False","4096","success","","0.00017811"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","short-list","analysis","45","176","221","11","False","4096","success","","3.573E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","reasoning","reasoning","133","206","339","48","False","4096","success","","4.905E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","multi-step","reasoning","70","129","199","4","False","4096","success","","2.952E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","haiku","creative","122","1473","1595","12","False","4096","success","","0.00027612"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","describe-sunset","creative","123","2034","2157","50","False","4096","success","","0.00037719"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","grumpy-sysadmin","roleplay","52","62","114","6","False","4096","success","","1.584E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","pirate-speak","roleplay","127","56","183","1","False","4096","success","","2.151E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","socratic","roleplay","133","772","905","40","False","4096","success","","0.00015093"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","repeat-exact","follow","145","34","179","4","False","4096","success","","1.917E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","json-format","follow","51","62","113","1","False","4096","success","","1.575E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","phishing-refusal","safety","43","79","122","11","False","4096","success","","1.809E-05"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","french-translate","multilingual","135","1517","1652","17","False","4096","success","","0.00028521"
"DS V4 Flash Max","deepseek/deepseek-v4-flash","xhigh","word-deletion","Word Deletion / Extreme Concision","extract-emails","extraction","144","495","639","1","False","4096","success","","0.00010206"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","one-word","qa","56","239","295","37","False","4096","success","","0.00023229"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","one-sentence","qa","56","551","607","29","False","4096","success","","0.00050373"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","short-code","coding","59","199","258","11","False","4096","success","","0.0001988"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","short-list","analysis","56","597","653","39","False","4096","success","","0.00054375"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","reasoning","reasoning","65","397","462","107","False","4096","success","","0.00037366"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","multi-step","reasoning","81","311","392","39","False","4096","success","","0.00030581"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","haiku","creative","54","389","443","11","False","4096","success","","0.00036192"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","describe-sunset","creative","55","429","484","49","False","4096","success","","0.00039716"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","grumpy-sysadmin","roleplay","63","479","542","199","False","4096","success","","0.00044414"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","pirate-speak","roleplay","59","57","116","1","False","4096","success","","7.526E-05"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","socratic","roleplay","65","471","536","144","False","4096","success","","0.00043804"
"DS V4 Pro","deepseek/deepseek-v4-pro","none","smc","Structured Markdown Compression","repeat-exact","follow","60","44","104","4","False","4096","success","","6.438E-05"
