"model_id","model_name","method","method_desc","task_id","category","prompt_tokens","output_tokens","output_words","is_maxed","max_tokens","reasoning","status","error"
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","json-format","follow","55","21","9","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","phishing-refusal","safety","47","80","61","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","french-translate","multilingual","59","36","21","False","4096","none","success",""
"microsoft/phi-4","Phi-4","json-envelope","JSON Envelope","extract-emails","extraction","67","26","10","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","one-word","qa","57","30","27","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","one-sentence","qa","60","31","29","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","short-code","coding","62","20","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","short-list","analysis","59","39","23","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","reasoning","reasoning","68","249","125","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","multi-step","reasoning","84","118","67","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","haiku","creative","57","21","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","describe-sunset","creative","58","71","52","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","grumpy-sysadmin","roleplay","66","140","103","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","pirate-speak","roleplay","62","4","1","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","socratic","roleplay","67","77","68","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","repeat-exact","follow","63","6","4","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","json-format","follow","65","14","6","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","phishing-refusal","safety","57","45","37","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","french-translate","multilingual","69","25","16","False","4096","none","success",""
"microsoft/phi-4","Phi-4","diff-only","Diff-Only Delta","extract-emails","extraction","77","16","5","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","one-word","qa","62","23","19","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","one-sentence","qa","65","14","12","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","short-code","coding","67","20","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","short-list","analysis","64","23","18","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","reasoning","reasoning","73","203","82","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","multi-step","reasoning","89","122","45","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","haiku","creative","62","18","9","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","describe-sunset","creative","63","75","42","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","grumpy-sysadmin","roleplay","71","41","32","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","pirate-speak","roleplay","67","30","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","socratic","roleplay","72","510","381","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","repeat-exact","follow","68","4","2","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","json-format","follow","70","14","6","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","phishing-refusal","safety","62","43","35","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","french-translate","multilingual","74","18","10","False","4096","none","success",""
"microsoft/phi-4","Phi-4","verb-noun","Verb-Noun Grammar","extract-emails","extraction","82","19","7","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","one-word","qa","50","29","26","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","one-sentence","qa","53","19","17","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","short-code","coding","55","19","11","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","short-list","analysis","52","35","23","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","reasoning","reasoning","61","229","113","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","multi-step","reasoning","77","92","53","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","haiku","creative","50","23","13","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","describe-sunset","creative","51","68","53","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","grumpy-sysadmin","roleplay","59","53","32","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","pirate-speak","roleplay","55","4","1","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","socratic","roleplay","60","66","53","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","repeat-exact","follow","56","6","4","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","json-format","follow","58","11","4","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","phishing-refusal","safety","50","50","42","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","french-translate","multilingual","62","25","16","False","4096","none","success",""
"microsoft/phi-4","Phi-4","word-deletion","Word Deletion / Extreme Concision","extract-emails","extraction","70","16","5","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","one-word","qa","68","72","20","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","one-sentence","qa","69","72","27","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","short-code","coding","72","61","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","short-list","analysis","68","84","36","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","reasoning","reasoning","79","187","68","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","multi-step","reasoning","95","168","51","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","haiku","creative","66","69","19","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","describe-sunset","creative","69","2638","50","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","grumpy-sysadmin","roleplay","76","843","388","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","pirate-speak","roleplay","71","48","1","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","socratic","roleplay","77","251","45","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","repeat-exact","follow","72","237","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","json-format","follow","74","637","1","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","phishing-refusal","safety","67","274","66","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","french-translate","multilingual","79","64","19","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","smc","Structured Markdown Compression","extract-emails","extraction","90","360","5","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","one-word","qa","55","339","31","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","one-sentence","qa","56","274","18","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","short-code","coding","59","425","12","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","short-list","analysis","55","477","18","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","reasoning","reasoning","66","540","51","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","multi-step","reasoning","82","465","46","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","haiku","creative",,,,"False","4096","none","error","Cannot index into a null array."
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","describe-sunset","creative","56","1103","53","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","grumpy-sysadmin","roleplay","63","575","286","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","pirate-speak","roleplay","58","244","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","socratic","roleplay","64","511","22","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","repeat-exact","follow","59","279","7","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","json-format","follow","61","542","7","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","phishing-refusal","safety","54","206","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","french-translate","multilingual","66","231","19","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","json-envelope","JSON Envelope","extract-emails","extraction","77","442","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","one-word","qa","63","74","14","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","one-sentence","qa","64","69","29","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","short-code","coding","67","47","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","short-list","analysis","63","80","32","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","reasoning","reasoning","74","250","89","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","multi-step","reasoning","90","128","34","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","haiku","creative","61","67","13","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","describe-sunset","creative","64","722","50","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","grumpy-sysadmin","roleplay","71","142","66","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","pirate-speak","roleplay","66","53","1","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","socratic","roleplay","72","70","25","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","repeat-exact","follow","67","35","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","json-format","follow","69","34","2","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","phishing-refusal","safety","62","277","71","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","french-translate","multilingual","74","47","16","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","diff-only","Diff-Only Delta","extract-emails","extraction","85","266","3","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","one-word","qa","72","61","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","one-sentence","qa","73","110","22","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","short-code","coding","76","59","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","short-list","analysis","72","84","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","reasoning","reasoning","83","206","75","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","multi-step","reasoning","99","240","42","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","haiku","creative","70","66","9","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","describe-sunset","creative","73","1589","50","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","grumpy-sysadmin","roleplay","80","223","80","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","pirate-speak","roleplay",,,,"False","4096","none","error","Cannot index into a null array."
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","socratic","roleplay","81","81","24","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","repeat-exact","follow","76","199","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","json-format","follow","78","761","2","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","phishing-refusal","safety","71","294","85","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","french-translate","multilingual","83","63","7","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","verb-noun","Verb-Noun Grammar","extract-emails","extraction","94","537","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","one-word","qa","57","65","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","one-sentence","qa","58","138","12","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","short-code","coding","61","173","2","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","short-list","analysis","57","112","10","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","reasoning","reasoning","68","101","32","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","multi-step","reasoning","84","105","34","False","4096","none","success",""
