model_id,model_name,family,session,sample_type,word_count,prompt_tokens,tokens_per_word,blend_E,status,notes
mistralai/codestral-2508,Codestral,mistral,4,prose,125,144,1.15,1.68,verified,"OR log: 144 in tok; SentencePiece"
cohere/command-a,Command A,cohere,4,code,152,324,2.13,1.72,verified,"OR log: 324 in tok; C4 tokenizer"
cohere/command-a,Command A,cohere,4,prose,125,137,1.10,1.72,verified,"OR log: 137 in tok; C4 tokenizer"
ai21/jamba-large-1.7,Jamba Large 1.7,ai21,4,code,152,377,2.48,1.97,verified,"OR log: 377 in tok; dense tokenizer"
ai21/jamba-large-1.7,Jamba Large 1.7,ai21,4,prose,125,151,1.21,1.97,verified,"OR log: 151 in tok; dense tokenizer"
openai/o3-mini,o3-mini,openai,4,code,152,300,1.97,1.64,verified,"OR log: 300 in tok; o200k"
openai/o3-mini,o3-mini,openai,4,prose,125,144,1.15,1.64,verified,"OR log: 144 in tok; o200k"
openai/o4-mini,o4-mini,openai,2,code,,,,1.72,blocked,Encrypted reasoning; no usage field returned
openai/o4-mini,o4-mini,openai,2,prose,,,,1.72,blocked,Encrypted reasoning; no usage field returned
openai/o4-mini,o4-mini,openai,4,code,,,,1.72,failed,OpenAI Responses API; no prompt_tokens field
openai/o4-mini,o4-mini,openai,4,prose,,,,1.72,failed,OpenAI Responses API; no prompt_tokens field
sakana/fugu-ultra,Fugu Ultra,sakana,3,code,,,,,blocked,Guardrail blocked
sakana/fugu-ultra,Fugu Ultra,sakana,4,code,152,14529,95.59,,failed,Non-standard token counting; $0.39/test
inflection/inflection-3-pi,Inflection 3 Pi,inflection,3,code,,,,,blocked,Guardrail blocked
inflection/inflection-3-pi,Inflection 3 Pi,inflection,4,code,,,,,failed,Provider returns empty response (502)
inflection/inflection-3-productivity,Inflection 3 Productivity,inflection,3,code,,,,,blocked,Guardrail blocked
inflection/inflection-3-productivity,Inflection 3 Productivity,inflection,4,code,,,,,failed,Provider returns empty response (502)
qwen/qwen3.7-plus,Qwen3.7 Plus,qwen,1,code,,,,1.60,blocked,Content guardrail blocks API access
qwen/qwen3.7-max,Qwen3.7 Max,qwen,1,code,,,,1.60,blocked,Content guardrail blocks API access
perplexity/sonar-reasoning-pro,Perplexity Sonar Reasoning Pro,perplexity,3,code,,,,,failed,Timed out (search/reasoning model)
perplexity/sonar-deep-research,Perplexity Sonar Deep Research,perplexity,3,code,,,,,failed,Timed out (search/reasoning model)
